survey	contact_type	part_age	cont_age	m_est
physical distancing	all	[20,30)	[60,70)	0.37827757419651237
physical distancing	all	[20,30)	[70,80)	0.1843596146520484
physical distancing	all	[20,30)	[80,Inf]	0.07061500703320961
physical distancing	all	[30,40)	[0,5)	0.34983980743536147
physical distancing	all	[30,40)	[5,10)	0.3946104845643955
physical distancing	all	[30,40)	[10,20)	0.9239049446206583
physical distancing	all	[30,40)	[20,30)	1.143812125298057
physical distancing	all	[30,40)	[30,40)	1.2903381722902876
physical distancing	all	[30,40)	[40,50)	0.9899881381446223
physical distancing	all	[30,40)	[50,60)	0.7777507027981183
physical distancing	all	[30,40)	[60,70)	0.455423791388852
physical distancing	all	[30,40)	[70,80)	0.24749125414344142
physical distancing	all	[30,40)	[80,Inf]	0.10676118286516274
physical distancing	all	[40,50)	[0,5)	0.249555740458403
physical distancing	all	[40,50)	[5,10)	0.2975820239950086
physical distancing	all	[40,50)	[10,20)	0.7219196273298418
physical distancing	all	[40,50)	[20,30)	0.8628753611254881
physical distancing	all	[40,50)	[30,40)	0.9230387072281834
physical distancing	all	[40,50)	[40,50)	1.1167366694306122
physical distancing	all	[40,50)	[50,60)	0.8706658820041258
physical distancing	all	[40,50)	[60,70)	0.5425494144145072
physical distancing	all	[40,50)	[70,80)	0.3267068165391361
physical distancing	all	[40,50)	[80,Inf]	0.1547537123102822
physical distancing	all	[50,60)	[0,5)	0.15643091583828334
physical distancing	all	[50,60)	[5,10)	0.1891564348052291
physical distancing	all	[50,60)	[10,20)	0.4859710567774803
physical distancing	all	[50,60)	[20,30)	0.6142020103123789
physical distancing	all	[50,60)	[30,40)	0.6536706465108453
physical distancing	all	[50,60)	[40,50)	0.7848352991702406
physical distancing	all	[50,60)	[50,60)	0.9615457769346443
physical distancing	all	[50,60)	[60,70)	0.6644863305750892
physical distancing	all	[50,60)	[70,80)	0.43507419858846097
physical distancing	all	[50,60)	[80,Inf]	0.22093201137797072
physical distancing	all	[60,70)	[0,5)	0.09039225006660147
physical distancing	all	[60,70)	[5,10)	0.11023875186126587
physical distancing	all	[60,70)	[10,20)	0.29471517413823267
physical distancing	all	[60,70)	[20,30)	0.3985252976235748
physical distancing	all	[60,70)	[30,40)	0.45940765455584637
physical distancing	all	[60,70)	[40,50)	0.5869922828117125
physical distancing	all	[60,70)	[50,60)	0.7975387351041803
physical distancing	all	[60,70)	[60,70)	0.8259397850774692
physical distancing	all	[60,70)	[70,80)	0.5985735120114243
physical distancing	all	[60,70)	[80,Inf]	0.31718801036352406
physical distancing	all	[70,80)	[0,5)	0.04508030788921945
physical distancing	all	[70,80)	[5,10)	0.06021671329031925
physical distancing	all	[70,80)	[10,20)	0.1770968147684673
physical distancing	all	[70,80)	[20,30)	0.2666806048266851
physical distancing	all	[70,80)	[30,40)	0.34278598983318265
physical distancing	all	[70,80)	[40,50)	0.4853238602707203
physical distancing	all	[70,80)	[50,60)	0.7169807125860626
physical distancing	all	[70,80)	[60,70)	0.8218633557699687
physical distancing	all	[70,80)	[70,80)	0.8689451560665316
physical distancing	all	[70,80)	[80,Inf]	0.47801139737080717
physical distancing	all	[80,Inf]	[0,5)	0.021299962353065645
physical distancing	all	[80,Inf]	[5,10)	0.03218332612882491
physical distancing	all	[80,Inf]	[10,20)	0.10877034287749066
physical distancing	all	[80,Inf]	[20,30)	0.19462792261296585
physical distancing	all	[80,Inf]	[30,40)	0.2817514653181129
physical distancing	all	[80,Inf]	[40,50)	0.4380319281915137
physical distancing	all	[80,Inf]	[50,60)	0.6937349656138111
physical distancing	all	[80,Inf]	[60,70)	0.8298408987640299
physical distancing	all	[80,Inf]	[70,80)	0.9108563791113906
physical distancing	all	[80,Inf]	[80,Inf]	0.6920047581457448
physical distancing	community	[0,5)	[0,5)	0.46397479794008106
physical distancing	community	[0,5)	[5,10)	0.2531898583570755
physical distancing	community	[0,5)	[10,20)	0.27415075171469694
physical distancing	community	[0,5)	[20,30)	0.2046592262461277
physical distancing	community	[0,5)	[30,40)	0.2037894816143071
physical distancing	community	[0,5)	[40,50)	0.2239239494474112
physical distancing	community	[0,5)	[50,60)	0.25256480351147403
physical distancing	community	[0,5)	[60,70)	0.17333956665392494
physical distancing	community	[0,5)	[70,80)	0.05574984742824395
physical distancing	community	[0,5)	[80,Inf]	0.010569467554954822
physical distancing	community	[5,10)	[0,5)	0.2390078048389568
physical distancing	community	[5,10)	[5,10)	0.5365627257869537
physical distancing	community	[5,10)	[10,20)	0.4966961301766219
physical distancing	community	[5,10)	[20,30)	0.31703548809045995
physical distancing	community	[5,10)	[30,40)	0.2693832304236735
physical distancing	community	[5,10)	[40,50)	0.27942240936578505
physical distancing	community	[5,10)	[50,60)	0.2591577595205621
physical distancing	community	[5,10)	[60,70)	0.16308700098467196
physical distancing	community	[5,10)	[70,80)	0.06943544399133322
physical distancing	community	[5,10)	[80,Inf]	0.018663849089871197
physical distancing	community	[10,20)	[0,5)	0.11822311854765508
