"[0,5)","[5,10)","[10,20)","[20,30)","[30,40)","[40,50)","[50,60)","[60,70)","[70,80)","[80,Inf)"
-3.73270386991561,-3.73270386991561,-3.73270386991561,-3.57153960719407,-3.21842340482781,-2.81412934475893,-2.42695308969285,-2.38945481243217,-2.11861762599223,-1.94166509583187
-3.6261413106951,-3.6261413106951,-3.6261413106951,-3.67031946354084,-3.35169464524692,-2.91164770420046,-2.5352348211798,-2.42464470677273,-2.12542252048784,-1.94506153801037
-3.55826245792697,-3.55826245792697,-3.55826245792697,-3.54949839667196,-3.1365962377585,-2.78768985125383,-2.40944459541895,-2.35290078337297,-2.11334461255538,-1.9353511129193
-3.65736022620556,-3.65736022620556,-3.65736022620556,-3.63456256094269,-3.26583087503271,-2.85484400971239,-2.51299037584636,-2.47718032278592,-2.2113904853031,-2.05263833972188
-3.84294234959309,-3.84294234959309,-3.84294234959309,-3.80916984980368,-3.39269620193086,-3.05826005145298,-2.65258606172379,-2.59530822169801,-2.31430572297567,-2.14852455830869
-3.50978298852959,-3.50978298852959,-3.50978298852959,-3.6074155910659,-3.27622426663467,-2.90520754944886,-2.4623584354737,-2.3846402748047,-2.08211969905834,-1.93545965238784
-3.9730134754961,-3.9730134754961,-3.9730134754961,-3.80012146115447,-3.41738672745689,-3.08303730377429,-2.60606172042903,-2.57305466115611,-2.34016838630456,-2.13083225538424
-3.58318647492305,-3.58318647492305,-3.58318647492305,-3.51324232949979,-3.14070375155827,-2.71815110721309,-2.3389174290239,-2.36585437124646,-2.1370378135169,-1.98015703043673
-3.58935096566134,-3.58935096566134,-3.58935096566134,-3.6117495575591,-3.24803611332042,-2.86766665319721,-2.43415100118004,-2.34653470390691,-2.12634000208463,-1.92542124341846
-3.77946567540601,-3.77946567540601,-3.77946567540601,-3.62895985953739,-3.19204103150054,-2.75673121612182,-2.42514146587038,-2.35537926170775,-2.11519784140563,-1.90540660130814
-3.87783656800105,-3.87783656800105,-3.87783656800105,-3.70911322632541,-3.36598245865693,-2.9456781045781,-2.56784557494644,-2.48265892147701,-2.21848229611052,-2.04894919074876
-3.85730088094378,-3.85730088094378,-3.85730088094378,-3.60504601897168,-3.34519702385954,-2.87934711333863,-2.46659403153671,-2.42955630541124,-2.1281761334296,-2.01831364861561
-3.71708347320485,-3.71708347320485,-3.71708347320485,-3.6430644171053,-3.32585654282029,-2.9039733712018,-2.52814084911403,-2.48959575618609,-2.28047398720583,-2.03805379838928
-3.78653537096044,-3.78653537096044,-3.78653537096044,-3.58629128622936,-3.2661329450099,-2.86440625502245,-2.43232561818887,-2.36770572538013,-2.11213130918103,-1.92512141728414
-3.84770553883633,-3.84770553883633,-3.84770553883633,-3.76873690145088,-3.44250482857903,-2.99770431744507,-2.63624703829136,-2.60735579826157,-2.40287108195713,-2.20714134483354
